ecg_mean,ecg_std,ecg_min,ecg_max,ecg_range,ecg_skew,ecg_kurtosis,ecg_energy,ecg_zcr,rr_mean,rr_std,rr_min,rr_max,rmssd,heart_rate,resp_mean,resp_std,resp_min,resp_max,resp_range,resp_skew,resp_kurtosis,resp_variance,resp_below90,resp_below94,resp_low_ratio,resp_drop_count
0.4173194,0.085383706,0.0,1.0,1.0,-0.29920777748222427,4.576695258581266,0.18144587,0.00013333333333333334,739.2098765432099,76.78327943777424,504.0,944.0,79.78471031469627,81.16774667646469,0.41051823,0.24775763,0.0,1.0,1.0,0.34635723851491657,-1.0606982062965746,0.061383843,0.9836,0.9919333333333333,0.9926666666666667,11.0
0.53195024,0.1081755,0.0,1.0,1.0,-0.4713676571413014,4.862418075467682,0.29467303,0.00013333333333333334,694.8372093023256,173.7454607381031,500.0,1016.0,194.10900515522957,86.35116138965124,0.44657883,0.23088993,0.0,1.0,1.0,0.3091444428136925,-0.7471400080093713,0.053310163,0.9738,0.9875333333333334,0.9910666666666667,14.0
0.35880452,0.09096109,0.0,1.0,1.0,2.7718487952610054,19.115873891547636,0.1370146,0.00013333333333333334,912.0,38.95875531102881,804.0,984.0,31.304951684997057,65.78947368421052,0.6327233,0.13516746,0.0,1.0,1.0,-0.48996470619437216,2.090535208054918,0.018270243,0.9723333333333334,0.9908666666666667,0.9916666666666667,35.0
0.20276253,0.12407287,0.0,1.0,1.0,3.090232997741222,12.900098878743707,0.056506723,0.00013333333333333334,851.8857142857142,75.99991407084293,632.0,976.0,47.247728263769005,70.43198282801181,0.6369212,0.2704738,0.0,1.0,1.0,-0.9799951190133942,0.21849163177204822,0.07315609,0.8375333333333334,0.8706,0.8788,2.0
0.3986587,0.084334545,0.0,1.0,1.0,1.955728468167154,10.202929695974134,0.16604108,0.00013333333333333334,660.2666666666667,59.109841256201435,544.0,940.0,39.51162536932444,90.87237479806139,0.41350424,0.1291169,0.0,1.0,1.0,0.36267334366274157,3.3090412608314965,0.016671173,0.9911333333333333,0.9949333333333333,0.9969333333333333,32.0
0.3616896,0.096422985,0.0,1.0,1.0,2.4405243552875295,15.735495808939934,0.14011677,0.00013333333333333334,841.4084507042254,58.5923076873995,692.0,948.0,33.602720978260926,71.30900569132909,0.4240505,0.29944593,0.0,1.0,1.0,0.460551730374242,-1.143177047097428,0.08966787,0.8990666666666667,0.9588,0.9731333333333333,14.0
0.31950516,0.09894598,0.0,1.0,1.0,3.2744894057185228,17.94003632787529,0.11187384,0.00013333333333333334,865.6811594202899,73.48360612864775,524.0,952.0,76.07426711869829,69.30958280318757,0.35026854,0.28520694,0.0,1.0,1.0,0.6209757351856626,-1.0540568492193376,0.081343,0.9842,0.9912666666666666,0.9920666666666667,10.0
0.66676134,0.14899112,0.0,1.0,1.0,-0.9372882259788758,3.4710453843782396,0.466769,0.00013333333333333334,761.1282051282051,112.56796909427301,500.0,1120.0,135.17011888343163,78.83034631451288,0.4061926,0.22596112,0.0,1.0,1.0,0.266053039701705,-0.4018027853216921,0.05105843,0.9756,0.9829333333333333,0.9852,9.0
0.36253005,0.097294234,0.0,1.0,1.0,2.6098706781018866,17.292782646810757,0.1408942,0.00013333333333333334,854.0571428571428,41.42459094178091,788.0,968.0,43.62953394071564,70.2529104777198,0.43404382,0.30763772,0.0,1.0,1.0,0.49393714114718174,-1.1656858073521108,0.09464097,0.8682,0.9149333333333334,0.9312666666666667,16.0
0.48334754,0.081484824,0.0,1.0,1.0,0.7718071116855202,9.736218886057847,0.24026461,0.00013333333333333334,677.6818181818181,118.83942044304855,500.0,972.0,142.16778172609833,88.53712522637333,0.47891504,0.09673989,0.0,1.0,1.0,-0.4802691459131768,13.992343439007897,0.009358605,0.9900666666666667,0.9922,0.9928666666666667,21.0
0.36885265,0.09454782,0.0,1.0,1.0,2.1998001274843086,11.731859194851227,0.14499153,0.00013333333333333334,745.0,33.81419820134732,596.0,800.0,29.664793948382652,80.53691275167785,0.441558,0.18094969,0.0,1.0,1.0,0.15218058781575763,0.10227244112488432,0.03274279,0.9888666666666667,0.9954666666666667,0.9959333333333333,36.0
0.24523142,0.09956238,0.0,1.0,1.0,4.459642441523996,24.845357052383083,0.070051104,0.00013333333333333334,915.2615384615384,181.2909499139713,620.0,1140.0,32.96589146375386,65.55503260942648,0.65592486,0.14612928,0.0,1.0,1.0,-0.7636280230103701,2.4236979529607634,0.021353764,0.9729333333333333,0.9821333333333333,0.9841333333333333,17.0
